geoid (zcta),days_above_90_today,days_above_90_30yrs,change_days_above_90,days_above_100_today,days_above_100_30yrs,change_days_above_100,heatbin_125_today,heatbin_125_30yrs
1001,31,47,16,6,13,7,0.011,0.017
1002,22,36,14,2,7,5,0.006,0.000
1003,25,40,15,3,9,6,0.006,0.000
1005,12,22,10,1,3,2,0.006,0.006
1007,20,33,13,2,6,4,0.006,0.000
1008,9,19,10,1,2,1,0.011,0.017
1009,18,31,13,2,6,4,0.011,0.017
1010,14,25,11,1,4,3,0.011,0.017
1011,12,23,11,1,3,2,0.011,0.017
1012,9,19,10,0,2,2,0.006,0.000
1013,29,46,17,5,12,7,0.011,0.017
1020,27,43,16,4,11,7,0.011,0.017
1022,27,42,15,4,10,6,0.011,0.017
1026,7,16,9,0,2,2,0.006,0.000
1027,23,37,14,3,8,5,0.006,0.000
1028,25,40,15,4,10,6,0.011,0.017
1029,7,15,8,0,1,1,0.006,0.000
1030,28,45,17,5,11,6,0.011,0.017
1031,14,24,10,1,3,2,0.006,0.006
1032,8,17,9,0,2,2,0.006,0.000
1033,23,37,14,3,8,5,0.006,0.000
1034,11,21,10,1,3,2,0.011,0.017
1035,25,40,15,3,9,6,0.006,0.000
1036,19,32,13,2,6,4,0.011,0.017
1037,13,25,12,1,3,2,0.006,0.006
1038,27,42,15,4,10,6,0.006,0.000
1039,22,37,15,3,8,5,0.006,0.000
1040,28,43,15,4,11,7,0.011,0.017
1050,15,26,11,1,4,3,0.006,0.000
1053,24,39,15,3,9,6,0.006,0.000
1054,17,29,12,1,5,4,0.000,0.000
1056,24,39,15,3,9,6,0.011,0.017
1057,14,26,12,1,4,3,0.011,0.017
1060,26,42,16,4,10,6,0.006,0.000
1062,27,42,15,4,10,6,0.006,0.000
1063,27,42,15,4,10,6,0.006,0.000
1066,25,40,15,3,9,6,0.006,0.000
1068,11,21,10,1,2,1,0.006,0.006
1069,18,31,13,2,5,3,0.011,0.017
1070,6,14,8,0,1,1,0.006,0.000
1071,17,30,13,2,5,3,0.011,0.017
1072,13,24,11,1,3,2,0.000,0.000
1073,26,41,15,4,10,6,0.006,0.000
1074,10,20,10,1,2,1,0.006,0.006
1075,25,41,16,4,10,6,0.006,0.000
1077,25,41,16,3,9,6,0.011,0.017
1079,19,32,13,2,6,4,0.011,0.017
1080,18,31,13,2,6,4,0.011,0.017
1081,11,22,11,1,3,2,0.011,0.017
1082,16,27,11,1,4,3,0.006,0.000
1083,13,24,11,1,3,2,0.006,0.006
1084,11,22,11,1,3,2,0.006,0.000
1085,27,43,16,4,11,7,0.011,0.017
1088,27,42,15,4,10,6,0.006,0.000
1089,30,46,16,5,13,8,0.011,0.017
1092,14,26,12,1,4,3,0.006,0.006
1093,24,39,15,3,9,6,0.000,0.000
1094,12,23,11,1,3,2,0.006,0.006
